method,body,step,x,y,iterations
fixed,M,0,0.310050000000,0.000000000000,1
newton,M,0,0.310050000000,0.000000000000,1
fixed,H,0,0.587400000000,0.000000000000,2
newton,H,0,0.587400000000,-0.000000000000,9
fixed,M,1,0.309864172455,0.011782235379,11
newton,M,1,0.309864172453,0.011782235443,3
fixed,H,1,-0.887781120405,1.807661049524,156
newton,H,1,-0.887781173363,1.807661080568,9
fixed,M,2,0.309307049323,0.023550354501,12
newton,M,2,0.309307049322,0.023550354526,3
fixed,H,2,-2.273725271972,2.465809155018,96
newton,H,2,-2.273725309248,2.465809169678,8
fixed,M,3,0.308379707062,0.035290288895,12
newton,M,3,0.308379707059,0.035290288933,3
fixed,H,3,-3.447018838913,2.875123710962,72
newton,H,3,-3.447018864975,2.875123719062,8
fixed,M,4,0.307083932850,0.046988065953,12
newton,M,4,0.307083932844,0.046988066001,3
fixed,H,4,-4.487853789195,3.171130121483,58
newton,H,4,-4.487853812229,3.171130127482,7
fixed,M,5,0.305422214330,0.058629855417,12
newton,M,5,0.305422214321,0.058629855474,3
fixed,H,5,-5.435538298742,3.400485056096,49
newton,H,5,-5.435538318090,3.400485060446,7
fixed,M,6,0.303397725426,0.070202014917,12
newton,M,6,0.303397725414,0.070202014980,3
fixed,H,6,-6.312525521413,3.585278223233,43
newton,H,6,-6.312525534466,3.585278225808,7
fixed,M,7,0.301014308416,0.081691133780,12
newton,M,7,0.301014308401,0.081691133849,3
fixed,H,7,-7.133103061864,3.737871921672,38
newton,H,7,-7.133103073394,3.737871923690,7
fixed,M,8,0.298276452494,0.093084074839,12
newton,M,8,0.298276452475,0.093084074910,3
fixed,H,8,-7.907062029128,3.865948864122,34
newton,H,8,-7.907062039649,3.865948865766,7
fixed,M,9,0.295189269082,0.104368013874,12
newton,M,9,0.295189269061,0.104368013946,3
fixed,H,9,-8.641480855872,3.974641383010,31
newton,H,9,-8.641480863715,3.974641384108,7
fixed,M,10,0.291758464195,0.115530476432,12
newton,M,10,0.291758464172,0.115530476502,3
fixed,H,10,-9.341687436872,4.067564714308,28
newton,H,10,-9.341687445650,4.067564715410,7
fixed,M,11,0.287990308171,0.126559371761,12
newton,M,11,0.287990308147,0.126559371829,4
fixed,H,11,-10.011820228897,4.147370985834,26
newton,H,11,-10.011820234742,4.147370986492,7
