# xi	w	z
0.000001	1.000000	0.000000
0.010001	0.999950	-0.000001
0.020001	0.999900	-0.005000
0.030001	0.999825	-0.009165
0.040001	0.999714	-0.012843
0.050001	0.999568	-0.016342
0.060001	0.999387	-0.019765
0.070001	0.999172	-0.023149
0.080001	0.998924	-0.026511
0.090001	0.998642	-0.029858
0.100001	0.998327	-0.033195
0.110001	0.997978	-0.036525
0.120001	0.997596	-0.039847
0.130001	0.997181	-0.043164
0.140001	0.996733	-0.046475
0.150001	0.996252	-0.049780
0.160001	0.995737	-0.053080
0.170001	0.995190	-0.056374
0.180001	0.994610	-0.059662
0.190001	0.993997	-0.062945
0.200001	0.993351	-0.066221
0.210001	0.992672	-0.069491
0.220001	0.991961	-0.072754
0.230001	0.991217	-0.076011
0.240001	0.990441	-0.079260
0.250001	0.989632	-0.082502
0.260001	0.988791	-0.085736
0.270001	0.987917	-0.088963
0.280001	0.987011	-0.092181
0.290001	0.986073	-0.095391
0.300001	0.985103	-0.098593
0.310001	0.984101	-0.101785
0.320001	0.983068	-0.104968
0.330001	0.982002	-0.108142
0.340001	0.980905	-0.111306
0.350001	0.979776	-0.114460
0.360001	0.978615	-0.117604
0.370001	0.977424	-0.120737
0.380001	0.976200	-0.123859
0.390001	0.974946	-0.126970
0.400001	0.973661	-0.130070
0.410001	0.972345	-0.133158
0.420001	0.970998	-0.136235
0.430001	0.969620	-0.139299
0.440001	0.968212	-0.142351
0.450001	0.966773	-0.145390
0.460001	0.965304	-0.148417
0.470001	0.963804	-0.151430
0.480001	0.962275	-0.154430
0.490001	0.960716	-0.157417
0.500001	0.959127	-0.160389
0.510001	0.957508	-0.163348
0.520001	0.955859	-0.166292
0.530001	0.954182	-0.169222
0.540001	0.952475	-0.172136
0.550001	0.950739	-0.175036
0.560001	0.948974	-0.177921
0.570001	0.947180	-0.180790
0.580001	0.945358	-0.183643
0.590001	0.943507	-0.186481
0.600001	0.941628	-0.189302
0.610001	0.939721	-0.192107
0.620001	0.937786	-0.194896
0.630001	0.935823	-0.197667
0.640001	0.933833	-0.200422
0.650001	0.931815	-0.203159
0.660001	0.929769	-0.205880
0.670001	0.927697	-0.208582
0.680001	0.925597	-0.211267
0.690001	0.923471	-0.213933
0.700001	0.921319	-0.216582
0.710001	0.919140	-0.219212
0.720001	0.916934	-0.221824
0.730001	0.914703	-0.224417
0.740001	0.912446	-0.226991
0.750001	0.910163	-0.229546
0.760001	0.907855	-0.232081
0.770001	0.905521	-0.234597
0.780001	0.903163	-0.237094
0.790001	0.900779	-0.239571
0.800001	0.898371	-0.242028
0.810001	0.895938	-0.244464
0.820001	0.893481	-0.246881
0.830001	0.891001	-0.249277
0.840001	0.888496	-0.251652
0.850001	0.885967	-0.254007
0.860001	0.883415	-0.256341
0.870001	0.880840	-0.258654
0.880001	0.878242	-0.260946
0.890001	0.875621	-0.263217
0.900001	0.872978	-0.265466
0.910001	0.870312	-0.267693
0.920001	0.867624	-0.269899
0.930001	0.864914	-0.272084
0.940001	0.862182	-0.274246
0.950001	0.859428	-0.276386
0.960001	0.856654	-0.278504
0.970001	0.853858	-0.280600
0.980001	0.851042	-0.282674
0.990001	0.848204	-0.284725
1.000001	0.845347	-0.286753
1.010001	0.842469	-0.288759
1.020001	0.839572	-0.290743
1.030001	0.836654	-0.292703
